id,date,sqft_living,price,bedrooms,bathrooms,sqft_lot,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15
7129300520,20141013T000000,1180,221900,3,1,5650,5650,1,0,0,3,7,1180,0,1955,98178,1340,5650
6414100192,20141209T000000,2570,538000,3,2.25,7242,7242,2,0,0,3,7,2170,400,1951,98125,1690,7639
5631500400,20150225T000000,770,180000,2,1,10000,10000,1,0,0,3,6,770,0,1933,98028,2720,8062
2487200875,20141209T000000,1960,604000,4,3,5000,5000,1,0,0,5,7,1050,910,1965,98136,1360,5000
1954400510,20150218T000000,1680,510000,3,2,8080,8080,1,0,0,3,8,1680,0,1987,98074,1800,7503
7237550310,20140512T000000,5420,1.23E+06,4,4.5,101930,101930,1,0,0,3,11,3890,1530,2001,98053,4760,101930
1321400060,20140627T000000,1715,257500,3,2.25,6819,6819,2,0,0,3,7,1715,0,1995,98003,2238,6819
2008000270,20150115T000000,1060,291850,3,1.5,9711,9711,1,0,0,3,7,1060,0,1963,98198,1650,9711
2414600126,20150415T000000,1780,229500,3,1,7470,7470,1,0,0,3,7,1050,730,1960,98146,1780,8113
3793500160,20150312T000000,1890,323000,3,2.5,6560,6560,2,0,0,3,7,1890,0,2003,98038,2390,7570
1736800520,20150403T000000,3560,662500,3,2.5,9796,9796,1,0,0,3,8,1860,1700,1965,98007,2210,8925
9212900260,20140527T000000,1160,468000,2,1,6000,6000,1,0,0,4,7,860,300,1942,98115,1330,6000
114101516,20140528T000000,1430,310000,3,1,19901,19901,1.5,0,0,4,7,1430,0,1927,98028,1780,12697
6054650070,20141007T000000,1370,400000,3,1.75,9680,9680,1,0,0,4,7,1370,0,1977,98074,1370,10208
1175000570,20150312T000000,1810,530000,5,2,4850,4850,1.5,0,0,3,7,1810,0,1900,98107,1360,4850
9297300055,20150124T000000,2950,650000,4,3,5000,5000,2,0,3,3,9,1980,970,1979,98126,2140,4000
1875500060,20140731T000000,1890,395000,3,2,14040,14040,2,0,0,3,7,1890,0,1994,98019,1890,14018
6865200140,20140529T000000,1600,485000,4,1,4300,4300,1.5,0,0,4,7,1600,0,1916,98103,1610,4300
16000397,20141205T000000,1200,189000,2,1,9850,9850,1,0,0,4,7,1200,0,1921,98002,1060,5095
7983200060,20150424T000000,1250,230000,3,1,9774,9774,1,0,0,4,7,1250,0,1969,98003,1280,8850
6300500875,20140514T000000,1620,385000,4,1.75,4980,4980,1,0,0,4,7,860,760,1947,98133,1400,4980
2524049179,20140826T000000,3050,2.00E+06,3,2.75,44867,44867,1,0,4,3,9,2330,720,1968,98040,4110,20336
7137970340,20140703T000000,2270,285000,5,2.5,6300,6300,2,0,0,3,8,2270,0,1995,98092,2240,7005
8091400200,20140516T000000,1070,252700,2,1.5,9643,9643,1,0,0,3,7,1070,0,1985,98030,1220,8386
3814700200,20141120T000000,2450,329000,3,2.25,6500,6500,2,0,0,4,8,2450,0,1985,98030,2200,6865
1202000200,20141103T000000,1710,233000,3,2,4697,4697,1.5,0,0,5,6,1710,0,1941,98002,1030,4705
1794500383,20140626T000000,2450,937000,3,1.75,2691,2691,2,0,0,3,8,1750,700,1915,98119,1760,3573
3303700376,20141201T000000,1400,667000,3,1,1581,1581,1.5,0,0,5,8,1400,0,1909,98112,1860,3861
